"Year","Area","Population"
"2020","WHOLE COUNTRY",5533793
"2020","Akaa",16391
"2020","Alajärvi",9419
"2020","Alavieska",2517
"2020","Alavus",11332
"2020","Asikkala",8059
"2020","Askola",4878
"2020","Aura",3959
"2020","Brändö",449
"2020","Eckerö",958
"2020","Enonkoski",1369
"2020","Enontekiö",1808
"2020","Espoo",292796
"2020","Eura",11483
"2020","Eurajoki",9452
"2020","Evijärvi",2408
"2020","Finström",2603
"2020","Forssa",16800
"2020","Föglö",526
"2020","Geta",511
"2020","Haapajärvi",6896
"2020","Haapavesi",6667
"2020","Hailuoto",949
"2020","Halsua",1103
"2020","Hamina",19877
"2020","Hammarland",1599
"2020","Hankasalmi",4782
"2020","Hanko",8042
"2020","Harjavalta",6869
"2020","Hartola",2655
"2020","Hattula",9389
"2020","Hausjärvi",8175
"2020","Heinola",18497
"2020","Heinävesi",3196
"2020","Helsinki",656920
"2020","Hirvensalmi",2156
"2020","Hollola",23251
"2020","Huittinen",9937
"2020","Humppila",2174
"2020","Hyrynsalmi",2199
"2020","Hyvinkää",46576
"2020","Hämeenkyrö",10344
"2020","Hämeenlinna",67848
"2020","Ii",9848
"2020","Iisalmi",21124
"2020","Iitti",6625
"2020","Ikaalinen",6866
"2020","Ilmajoki",12294
"2020","Ilomantsi",4749
"2020","Imatra",26075
"2020","Inari",6862
"2020","Ingå",5321
"2020","Isojoki",1925
"2020","Isokyrö",4471
"2020","Janakkala",16237
"2020","Joensuu",76935
"2020","Jokioinen",5061
"2020","Jomala",5386
"2020","Joroinen",4689
"2020","Joutsa",4297
"2020","Juuka",4527
"2020","Juupajoki",1800
"2020","Juva",5932
"2020","Jyväskylä",143420
"2020","Jämijärvi",1707
"2020","Jämsä",19887
"2020","Järvenpää",44455
"2020","Kaarina",34667
"2020","Kaavi",2807
"2020","Kajaani",36567
"2020","Kalajoki",12400
"2020","Kangasala",32214
"2020","Kangasniemi",5312
"2020","Kankaanpää",12758
"2020","Kannonkoski",1323
"2020","Kannus",5426
"2020","Karijoki",1207
"2020","Karkkila",8696
"2020","Karstula",3858
"2020","Karvia",2322
"2020","Kaskinen",1278
"2020","Kauhajoki",13007
"2020","Kauhava",15514
"2020","Kauniainen",10178
"2020","Kaustinen",4228
"2020","Keitele",2155
"2020","Kemi",20437
"2020","Kemijärvi",7191
"2020","Keminmaa",7984
"2020","Kimitoön",6609
"2020","Kempele",18796
"2020","Kerava",37105
"2020","Keuruu",9486
"2020","Kihniö",1822
"2020","Kinnula",1597
"2020","Kirkkonummi",40082
"2020","Kitee",9933
"2020","Kittilä",6436
"2020","Kiuruvesi",7854
"2020","Kivijärvi",1107
"2020","Kokemäki",7013
"2020","Kokkola",47772
"2020","Kolari",3925
"2020","Konnevesi",2593
"2020","Kontiolahti",14857
"2020","Korsnäs",2068
"2020","Koski Tl",2292
"2020","Kotka",51668
"2020","Kouvola",81187
"2020","Kristinestad",6404
"2020","Kronoby",6416
"2020","Kuhmo",8042
"2020","Kuhmoinen",2161
"2020","Kumlinge",307
"2020","Kuopio",120210
