"Year","Industries_luok","Municipality","Bankruptcies instigated, number of enterprises","Bankruptcies instigated, number of employees"
"2020","Total","WHOLE COUNTRY",2135,10876
"2020","Total","Akaa",3,3
"2020","Total","Alajärvi",6,10
"2020","Total","Alavieska",1,4
"2020","Total","Alavus",4,8
"2020","Total","Asikkala",1,2
"2020","Total","Askola",0,0
"2020","Total","Aura",4,5
"2020","Total","Brändö",0,0
"2020","Total","Eckerö",0,0
"2020","Total","Enonkoski",0,0
"2020","Total","Enontekiö",0,0
"2020","Total","Espoo",99,442
"2020","Total","Eura",3,37
"2020","Total","Eurajoki",2,3
"2020","Total","Evijärvi",2,11
"2020","Total","Finström",2,43
"2020","Total","Forssa",5,13
"2020","Total","Föglö",0,0
"2020","Total","Geta",0,0
"2020","Total","Haapajärvi",5,11
"2020","Total","Haapavesi",1,16
"2020","Total","Hailuoto",0,0
"2020","Total","Halsua",0,0
"2020","Total","Hamina",2,5
"2020","Total","Hammarland",1,1
"2020","Total","Hankasalmi",1,2
"2020","Total","Hanko",1,1
"2020","Total","Harjavalta",3,8
"2020","Total","Hartola",1,15
"2020","Total","Hattula",3,13
"2020","Total","Hausjärvi",1,1
"2020","Total","Heinola",6,158
"2020","Total","Heinävesi",0,0
"2020","Total","Helsinki",469,3641
"2020","Total","Hirvensalmi",0,0
"2020","Total","Hollola",8,70
"2020","Total","Huittinen",5,13
"2020","Total","Humppila",1,2
"2020","Total","Hyrynsalmi",0,0
"2020","Total","Hyvinkää",11,42
"2020","Total","Hämeenkyrö",2,12
"2020","Total","Hämeenlinna",17,61
"2020","Total","Ii",3,22
"2020","Total","Iisalmi",4,17
"2020","Total","Iitti",3,38
"2020","Total","Ikaalinen",1,1
"2020","Total","Ilmajoki",1,3
"2020","Total","Ilomantsi",4,12
"2020","Total","Imatra",11,31
"2020","Total","Inari",3,9
"2020","Total","Ingå",0,0
"2020","Total","Isojoki",2,21
"2020","Total","Isokyrö",2,2
"2020","Total","Janakkala",5,29
"2020","Total","Joensuu",22,92
"2020","Total","Jokioinen",0,0
"2020","Total","Jomala",1,1
"2020","Total","Joroinen",0,0
"2020","Total","Joutsa",0,0
"2020","Total","Juuka",2,5
"2020","Total","Juupajoki",1,22
"2020","Total","Juva",6,7
"2020","Total","Jyväskylä",47,121
"2020","Total","Jämijärvi",1,1
"2020","Total","Jämsä",6,35
"2020","Total","Järvenpää",5,11
"2020","Total","Kaarina",11,34
"2020","Total","Kaavi",2,3
"2020","Total","Kajaani",10,16
"2020","Total","Kalajoki",4,6
"2020","Total","Kangasala",6,20
"2020","Total","Kangasniemi",3,3
"2020","Total","Kankaanpää",10,22
"2020","Total","Kannonkoski",0,0
"2020","Total","Kannus",2,6
"2020","Total","Karijoki",0,0
"2020","Total","Karkkila",3,8
"2020","Total","Karstula",0,0
"2020","Total","Karvia",1,2
"2020","Total","Kaskinen",0,0
"2020","Total","Kauhajoki",8,34
"2020","Total","Kauhava",10,21
"2020","Total","Kauniainen",2,9
"2020","Total","Kaustinen",2,3
"2020","Total","Keitele",1,5
"2020","Total","Kemi",6,35
"2020","Total","Kemijärvi",2,6
"2020","Total","Keminmaa",1,1
"2020","Total","Kimitoön",5,6
"2020","Total","Kempele",7,39
"2020","Total","Kerava",10,45
"2020","Total","Keuruu",3,3
"2020","Total","Kihniö",2,13
"2020","Total","Kinnula",1,1
"2020","Total","Kirkkonummi",14,44
"2020","Total","Kitee",3,3
"2020","Total","Kittilä",3,3
"2020","Total","Kiuruvesi",2,2
"2020","Total","Kivijärvi",1,2
"2020","Total","Kokemäki",2,12
"2020","Total","Kokkola",18,79
"2020","Total","Kolari",1,1
"2020","Total","Konnevesi",0,0
"2020","Total","Kontiolahti",3,7
"2020","Total","Korsnäs",1,4
"2020","Total","Koski Tl",0,0
"2020","Total","Kotka",18,32
"2020","Total","Kouvola",30,81
"2020","Total","Kristinestad",3,3
"2020","Total","Kronoby",0,0
"2020","Total","Kuhmo",0,0
"2020","Total","Kuhmoinen",0,0
"2020","Total","Kumlinge",0,0
"2020","Total","Kuopio",41,136
"2020","Total","Kuortane",0,0
"2020","Total","Kurikka",15,28
"2020","Total","Kustavi",0,0
"2020","Total","Kuusamo",10,23
"2020","Total","Kyyjärvi",0,0
"2020","Total","Kärkölä",1,4
"2020","Total","Kärsämäki",2,2
"2020","Total","Kökar",0,0
"2020","Total","Lahti",43,198
"2020","Total","Laihia",0,0
"2020","Total","Laitila",2,2
"2020","Total","Lapinjärvi",0,0
"2020","Total","Lapinlahti",5,21
"2020","Total","Lappajärvi",1,1
"2020","Total","Lappeenranta",24,136
"2020","Total","Lapua",6,26
"2020","Total","Laukaa",6,69
"2020","Total","Lemi",1,1
"2020","Total","Lemland",0,0
"2020","Total","Lempäälä",7,27
"2020","Total","Leppävirta",2,14
"2020","Total","Lestijärvi",1,1
"2020","Total","Lieksa",5,5
"2020","Total","Lieto",9,60
"2020","Total","Liminka",1,1
"2020","Total","Liperi",2,16
"2020","Total","Lohja",17,32
"2020","Total","Loimaa",4,9
"2020","Total","Loppi",1,1
"2020","Total","Loviisa",7,30
"2020","Total","Luhanka",1,2
"2020","Total","Lumijoki",1,6
"2020","Total","Lumparland",0,0
"2020","Total","Larsmo",0,0
"2020","Total","Luumäki",1,6
"2020","Total","Malax",2,2
"2020","Total","Mariehamn",4,10
"2020","Total","Marttila",1,1
"2020","Total","Masku",4,10
"2020","Total","Merijärvi",1,1
"2020","Total","Merikarvia",1,5
"2020","Total","Miehikkälä",0,0
"2020","Total","Mikkeli",18,60
"2020","Total","Muhos",2,5
"2020","Total","Multia",0,0
"2020","Total","Muonio",0,0
"2020","Total","Korsholm",3,7
"2020","Total","Muurame",6,18
"2020","Total","Mynämäki",3,7
"2020","Total","Myrskylä",0,0
"2020","Total","Mäntsälä",3,4
"2020","Total","Mänttä-Vilppula",1,1
"2020","Total","Mäntyharju",1,1
"2020","Total","Naantali",12,47
"2020","Total","Nakkila",1,1
"2020","Total","Nivala",5,23
"2020","Total","Nokia",11,24
"2020","Total","Nousiainen",2,6
"2020","Total","Nurmes",3,10
"2020","Total","Nurmijärvi",17,86
"2020","Total","Närpes",3,4
"2020","Total","Orimattila",4,23
"2020","Total","Oripää",0,0
"2020","Total","Orivesi",6,22
"2020","Total","Oulainen",3,9
"2020","Total","Oulu",69,344
"2020","Total","Outokumpu",2,2
"2020","Total","Padasjoki",3,12
"2020","Total","Paimio",5,22
"2020","Total","Paltamo",1,1
"2020","Total","Pargas",5,5
"2020","Total","Parikkala",5,7
"2020","Total","Parkano",3,10
"2020","Total","Pedersöre",6,15
"2020","Total","Pelkosenniemi",0,0
"2020","Total","Pello",1,2
"2020","Total","Perho",1,1
"2020","Total","Petäjävesi",1,1
"2020","Total","Pieksämäki",4,6
"2020","Total","Pielavesi",0,0
"2020","Total","Jakobstad",10,54
"2020","Total","Pihtipudas",3,3
"2020","Total","Pirkkala",5,29
"2020","Total","Polvijärvi",2,6
"2020","Total","Pomarkku",0,0
"2020","Total","Pori",30,68
"2020","Total","Pornainen",2,17
"2020","Total","Porvoo",28,163
"2020","Total","Posio",2,2
"2020","Total","Pudasjärvi",4,6
"2020","Total","Pukkila",0,0
"2020","Total","Punkalaidun",3,10
"2020","Total","Puolanka",3,9
"2020","Total","Puumala",2,15
"2020","Total","Pyhtää",2,9
"2020","Total","Pyhäjoki",1,1
"2020","Total","Pyhäjärvi",2,3
"2020","Total","Pyhäntä",0,0
"2020","Total","Pyhäranta",1,3
"2020","Total","Pälkäne",4,17
"2020","Total","Pöytyä",4,7
"2020","Total","Raahe",8,137
"2020","Total","Raseborg",13,41
"2020","Total","Raisio",3,20
"2020","Total","Rantasalmi",3,25
"2020","Total","Ranua",3,13
"2020","Total","Rauma",16,41
"2020","Total","Rautalampi",0,0
"2020","Total","Rautavaara",1,2
"2020","Total","Rautjärvi",2,3
"2020","Total","Reisjärvi",0,0
"2020","Total","Riihimäki",4,21
"2020","Total","Ristijärvi",0,0
"2020","Total","Rovaniemi",24,61
"2020","Total","Ruokolahti",1,4
"2020","Total","Ruovesi",0,0
"2020","Total","Rusko",6,14
"2020","Total","Rääkkylä",0,0
"2020","Total","Saarijärvi",6,108
"2020","Total","Salla",0,0
"2020","Total","Salo",22,79
"2020","Total","Saltvik",1,1
"2020","Total","Sastamala",8,29
"2020","Total","Sauvo",0,0
"2020","Total","Savitaipale",0,0
"2020","Total","Savonlinna",18,23
"2020","Total","Savukoski",0,0
"2020","Total","Seinäjoki",18,86
"2020","Total","Sievi",1,1
"2020","Total","Siikainen",0,0
"2020","Total","Siikajoki",0,0
"2020","Total","Siikalatva",6,11
"2020","Total","Siilinjärvi",6,18
"2020","Total","Simo",2,2
"2020","Total","Sipoo",7,13
"2020","Total","Siuntio",2,10
"2020","Total","Sodankylä",1,10
"2020","Total","Soini",1,1
"2020","Total","Somero",1,1
"2020","Total","Sonkajärvi",0,0
"2020","Total","Sotkamo",6,28
"2020","Total","Sottunga",0,0
"2020","Total","Sulkava",2,2
"2020","Total","Sund",1,6
"2020","Total","Suomussalmi",1,8
"2020","Total","Suonenjoki",1,3
"2020","Total","Sysmä",1,1
"2020","Total","Säkylä",2,3
"2020","Total","Taipalsaari",0,0
"2020","Total","Taivalkoski",2,2
"2020","Total","Taivassalo",0,0
"2020","Total","Tammela",2,3
"2020","Total","Tampere",104,473
"2020","Total","Tervo",0,0
"2020","Total","Tervola",0,0
"2020","Total","Teuva",4,4
"2020","Total","Tohmajärvi",1,1
"2020","Total","Toholampi",2,13
"2020","Total","Toivakka",0,0
"2020","Total","Tornio",11,51
"2020","Total","Turku",74,384
"2020","Total","Tuusniemi",1,1
"2020","Total","Tuusula",16,43
"2020","Total","Tyrnävä",1,1
"2020","Total","Ulvila",2,2
"2020","Total","Urjala",1,10
"2020","Total","Utajärvi",2,7
"2020","Total","Utsjoki",0,0
"2020","Total","Uurainen",0,0
"2020","Total","Nykarleby",6,7
"2020","Total","Uusikaupunki",8,37
"2020","Total","Vaala",0,0
"2020","Total","Vaasa",24,88
"2020","Total","Valkeakoski",3,9
"2020","Total","Vantaa",74,913
"2020","Total","Varkaus",8,10
"2020","Total","Vehmaa",0,0
