"Year","Municipality","Establishments of enterprises (number)","Personnel in establishments of enterprises (staff-years)"
"2020","WHOLE COUNTRY",581344,1506105
"2020","Akaa",1432,2941
"2020","Alajärvi",1377,2083
"2020","Alavieska",319,424
"2020","Alavus",1524,3053
"2020","Asikkala",1078,1632
"2020","Askola",651,1020
"2020","Aura",495,826
"2020","Brändö",107,112
"2020","Eckerö",197,159
"2020","Enonkoski",224,199
"2020","Enontekiö",250,341
"2020","Espoo",25436,88074
"2020","Eura",1435,3049
"2020","Eurajoki",1037,3040
"2020","Evijärvi",491,562
"2020","Finström",362,612
"2020","Forssa",1682,5389
"2020","Föglö",82,118
"2020","Geta",78,63
"2020","Haapajärvi",833,1589
"2020","Haapavesi",772,1529
"2020","Hailuoto",148,131
"2020","Halsua",223,241
"2020","Hamina",1749,3834
"2020","Hammarland",255,157
"2020","Hankasalmi",689,718
"2020","Hanko",745,2512
"2020","Harjavalta",603,2513
"2020","Hartola",525,641
"2020","Hattula",949,1418
"2020","Hausjärvi",934,1178
"2020","Heinola",1621,3809
"2020","Heinävesi",520,504
"2020","Helsinki",74668,280045
"2020","Hirvensalmi",382,312
"2020","Hollola",2223,4229
"2020","Honkajoki",356,469
"2020","Huittinen",1638,2850
"2020","Humppila",349,341
"2020","Hyrynsalmi",288,248
"2020","Hyvinkää",3823,12528
"2020","Hämeenkoski",.,.
"2020","Hämeenkyrö",1226,1533
"2020","Hämeenlinna",6344,16582
"2020","Ii",856,1372
"2020","Iisalmi",1985,5827
"2020","Iitti",901,1457
"2020","Ikaalinen",1151,1255
"2020","Ilmajoki",1497,1750
"2020","Ilomantsi",603,723
"2020","Imatra",1947,6171
"2020","Inari",782,1622
"2020","Ingå",856,946
"2020","Isojoki",415,438
"2020","Isokyrö",755,939
"2020","Jalasjärvi",.,.
"2020","Janakkala",1488,3467
"2020","Joensuu",6251,19215
"2020","Jokioinen",567,937
"2020","Jomala",798,1833
"2020","Joroinen",591,981
"2020","Joutsa",722,791
"2020","Juankoski",.,.
"2020","Juuka",647,771
"2020","Juupajoki",297,492
"2020","Juva",1042,1080
"2020","Jyväskylä",11260,36661
"2020","Jyväskylän mlk",-,.
"2020","Jämijärvi",330,284
"2020","Jämsä",2201,5458
"2020","Järvenpää",3372,7907
"2020","Kaarina",3088,6591
"2020","Kaavi",373,499
"2020","Kajaani",2596,8184
"2020","Kalajoki",1628,3147
"2020","Kangasala",2912,5170
"2020","Kangasniemi",956,991
"2020","Kankaanpää",1470,2545
"2020","Kannonkoski",205,191
"2020","Kannus",665,1324
"2020","Karijoki",242,206
"2020","Karkkila",799,1811
"2020","Karstula",642,827
"2020","Karvia",506,517
"2020","Kaskinen",144,363
"2020","Kauhajoki",1848,2981
"2020","Kauhava",2684,4459
"2020","Kauniainen",1125,1197
"2020","Kaustinen",627,1040
"2020","Keitele",345,757
"2020","Kemi",1227,5470
"2020","Kemijärvi",693,1107
