"Year","Area","Deaths","Population"
"2020","WHOLE COUNTRY",55488,5533793
"2020","Akaa",184,16391
"2020","Alajärvi",143,9419
"2020","Alavieska",24,2517
"2020","Alavus",146,11332
"2020","Asikkala",109,8059
"2020","Askola",51,4878
"2020","Aura",25,3959
"2020","Brändö",7,449
"2020","Eckerö",6,958
"2020","Enonkoski",23,1369
"2020","Enontekiö",29,1808
"2020","Espoo",1690,292796
"2020","Eura",175,11483
"2020","Eurajoki",108,9452
"2020","Evijärvi",26,2408
"2020","Finström",32,2603
"2020","Forssa",239,16800
"2020","Föglö",9,526
"2020","Geta",6,511
"2020","Haapajärvi",74,6896
"2020","Haapavesi",72,6667
"2020","Hailuoto",16,949
"2020","Halsua",16,1103
"2020","Hamina",278,19877
"2020","Hammarland",19,1599
"2020","Hankasalmi",87,4782
"2020","Hanko",112,8042
"2020","Harjavalta",112,6869
"2020","Hartola",48,2655
"2020","Hattula",97,9389
"2020","Hausjärvi",89,8175
"2020","Heinola",291,18497
"2020","Heinävesi",68,3196
"2020","Helsinki",5357,656920
"2020","Hirvensalmi",46,2156
"2020","Hollola",235,23251
"2020","Huittinen",149,9937
"2020","Humppila",31,2174
"2020","Hyrynsalmi",57,2199
"2020","Hyvinkää",494,46576
"2020","Hämeenkyrö",95,10344
"2020","Hämeenlinna",742,67848
"2020","Ii",96,9848
"2020","Iisalmi",315,21124
"2020","Iitti",113,6625
"2020","Ikaalinen",80,6866
"2020","Ilmajoki",132,12294
"2020","Ilomantsi",121,4749
"2020","Imatra",435,26075
"2020","Inari",81,6862
"2020","Ingå",66,5321
"2020","Isojoki",26,1925
"2020","Isokyrö",72,4471
"2020","Janakkala",192,16237
"2020","Joensuu",766,76935
"2020","Jokioinen",65,5061
"2020","Jomala",31,5386
"2020","Joroinen",61,4689
"2020","Joutsa",95,4297
"2020","Juuka",93,4527
"2020","Juupajoki",22,1800
"2020","Juva",112,5932
"2020","Jyväskylä",1097,143420
"2020","Jämijärvi",31,1707
"2020","Jämsä",298,19887
"2020","Järvenpää",289,44455
"2020","Kaarina",262,34667
"2020","Kaavi",64,2807
"2020","Kajaani",397,36567
"2020","Kalajoki",126,12400
"2020","Kangasala",222,32214
"2020","Kangasniemi",105,5312
"2020","Kankaanpää",177,12758
"2020","Kannonkoski",20,1323
"2020","Kannus",57,5426
"2020","Karijoki",24,1207
"2020","Karkkila",97,8696
"2020","Karstula",61,3858
"2020","Karvia",42,2322
"2020","Kaskinen",17,1278
"2020","Kauhajoki",173,13007
"2020","Kauhava",228,15514
"2020","Kauniainen",83,10178
